raceId;year;circuitId;name;date
506;1980;10;German Grand Prix;10/08/1980
507;1980;70;Austrian Grand Prix;17/08/1980
508;1980;39;Dutch Grand Prix;31/08/1980
509;1980;21;Italian Grand Prix;14/09/1980
510;1980;7;Canadian Grand Prix;28/09/1980
511;1980;46;United States Grand Prix;05/10/1980
512;1979;25;Argentine Grand Prix;21/01/1979
513;1979;18;Brazilian Grand Prix;04/02/1979
514;1979;30;South African Grand Prix;03/03/1979
515;1979;43;United States Grand Prix West;08/04/1979
516;1979;45;Spanish Grand Prix;29/04/1979
517;1979;40;Belgian Grand Prix;13/05/1979
518;1979;6;Monaco Grand Prix;27/05/1979
519;1979;41;French Grand Prix;01/07/1979
520;1979;9;British Grand Prix;14/07/1979
521;1979;10;German Grand Prix;29/07/1979
522;1979;70;Austrian Grand Prix;12/08/1979
523;1979;39;Dutch Grand Prix;26/08/1979
524;1979;14;Italian Grand Prix;09/09/1979
525;1979;7;Canadian Grand Prix;30/09/1979
526;1979;46;United States Grand Prix;07/10/1979
527;1978;25;Argentine Grand Prix;15/01/1978
528;1978;36;Brazilian Grand Prix;29/01/1978
529;1978;30;South African Grand Prix;04/03/1978
530;1978;43;United States Grand Prix West;02/04/1978
531;1978;6;Monaco Grand Prix;07/05/1978
532;1978;40;Belgian Grand Prix;21/05/1978
533;1978;45;Spanish Grand Prix;04/06/1978
534;1978;47;Swedish Grand Prix;17/06/1978
535;1978;34;French Grand Prix;02/07/1978
536;1978;38;British Grand Prix;16/07/1978
537;1978;10;German Grand Prix;30/07/1978
538;1978;70;Austrian Grand Prix;13/08/1978
539;1978;39;Dutch Grand Prix;27/08/1978
540;1978;14;Italian Grand Prix;10/09/1978
541;1978;46;United States Grand Prix;01/10/1978
542;1978;7;Canadian Grand Prix;08/10/1978
543;1977;25;Argentine Grand Prix;09/01/1977
544;1977;18;Brazilian Grand Prix;23/01/1977
545;1977;30;South African Grand Prix;05/03/1977
546;1977;43;United States Grand Prix West;03/04/1977
547;1977;45;Spanish Grand Prix;08/05/1977
548;1977;6;Monaco Grand Prix;22/05/1977
549;1977;40;Belgian Grand Prix;05/06/1977
550;1977;47;Swedish Grand Prix;19/06/1977
551;1977;41;French Grand Prix;03/07/1977
552;1977;9;British Grand Prix;16/07/1977
553;1977;10;German Grand Prix;31/07/1977
554;1977;70;Austrian Grand Prix;14/08/1977
555;1977;39;Dutch Grand Prix;28/08/1977
556;1977;14;Italian Grand Prix;11/09/1977
557;1977;46;United States Grand Prix;02/10/1977
558;1977;48;Canadian Grand Prix;09/10/1977
559;1977;16;Japanese Grand Prix;23/10/1977
560;1976;18;Brazilian Grand Prix;25/01/1976
561;1976;30;South African Grand Prix;06/03/1976
562;1976;43;United States Grand Prix West;28/03/1976
563;1976;45;Spanish Grand Prix;02/05/1976
564;1976;40;Belgian Grand Prix;16/05/1976
565;1976;6;Monaco Grand Prix;30/05/1976
566;1976;47;Swedish Grand Prix;13/06/1976
567;1976;34;French Grand Prix;04/07/1976
568;1976;38;British Grand Prix;18/07/1976
569;1976;20;German Grand Prix;01/08/1976
570;1976;70;Austrian Grand Prix;15/08/1976
571;1976;39;Dutch Grand Prix;29/08/1976
572;1976;14;Italian Grand Prix;12/09/1976
573;1976;48;Canadian Grand Prix;03/10/1976
574;1976;46;United States Grand Prix;10/10/1976
575;1976;16;Japanese Grand Prix;24/10/1976
576;1975;25;Argentine Grand Prix;12/01/1975
577;1975;18;Brazilian Grand Prix;26/01/1975
578;1975;30;South African Grand Prix;01/03/1975
579;1975;49;Spanish Grand Prix;27/04/1975
580;1975;6;Monaco Grand Prix;11/05/1975
581;1975;40;Belgian Grand Prix;25/05/1975
582;1975;47;Swedish Grand Prix;08/06/1975
583;1975;39;Dutch Grand Prix;22/06/1975
584;1975;34;French Grand Prix;06/07/1975
585;1975;9;British Grand Prix;19/07/1975
586;1975;20;German Grand Prix;03/08/1975
587;1975;70;Austrian Grand Prix;17/08/1975
588;1975;14;Italian Grand Prix;07/09/1975
589;1975;46;United States Grand Prix;05/10/1975
590;1974;25;Argentine Grand Prix;13/01/1974
591;1974;18;Brazilian Grand Prix;27/01/1974
592;1974;30;South African Grand Prix;30/03/1974
593;1974;45;Spanish Grand Prix;28/04/1974
594;1974;50;Belgian Grand Prix;12/05/1974
595;1974;6;Monaco Grand Prix;26/05/1974
596;1974;47;Swedish Grand Prix;09/06/1974
597;1974;39;Dutch Grand Prix;23/06/1974
598;1974;41;French Grand Prix;07/07/1974
599;1974;38;British Grand Prix;20/07/1974
600;1974;20;German Grand Prix;04/08/1974
601;1974;70;Austrian Grand Prix;18/08/1974
602;1974;14;Italian Grand Prix;08/09/1974
603;1974;48;Canadian Grand Prix;22/09/1974
604;1974;46;United States Grand Prix;06/10/1974
605;1973;25;Argentine Grand Prix;28/01/1973
606;1973;18;Brazilian Grand Prix;11/02/1973
607;1973;30;South African Grand Prix;03/03/1973
608;1973;49;Spanish Grand Prix;29/04/1973
609;1973;40;Belgian Grand Prix;20/05/1973
